fichier,dossier,cle,nom_pdf,statut,id_1,cand_1,id_2,cand_2,id_3,cand_3,id_retenu
2026 PROMEND CATALOG.pdf,All Catalogues 220926,PROMEND,,aucun,,,,,,,
2026 QiCYCLE Nano.pdf,All Catalogues 220926,QiCYCLE Nano,,aucun,,,,,,,
2026 QINHUAN CATALOG.pdf,All Catalogues 220926,QINHUAN,,à valider,official_566,"QINHUANGDAO XINCHI PHOTOELECTRICITY TECHNOLOGY CO., LTD. [SINC LITHIUM BATTERY] E5 E5-0926 · 0.85 concat ← QINHUAN",,,,,
QS motor catalogue 2026.pdf,All Catalogues 220926,QS motor,,aucun,,,,,,,
2026 QUICK CATALOG.pdf,All Catalogues 220926,QUICK,"UICK Bicycles is the flagship brand of Huizhou Quick Bicycle Co., Ltd.",à valider,official_60,"ACETRIKES BICYCLES (ANHUI) CO., LTD. [B.B.KING] E1 E1-1336 · 0.80 token:bicycles ← UICK Bicycles is the flag",,,,,
RHY Product Catalog 2024.pdf,Suppliers Catalogues,RHY,,aucun,,,,,,,
2026 RMX CATALOG.pdf,All Catalogues 220926,RMX,,aucun,,,,,,,
2026 S-PARTS CATALOG 8.pdf,All Catalogues 220926/2026 S-PARTS CATALOG,S PARTS,,aucun,,,,,,,
SAHOO sourcing catalog - BIKE 2026.pdf,All Catalogues 220926,SAHOO sourcing     BIKE,,à valider,official_1054,VITTORIA SOURCING ASIA [VITTORIA] N1 N1-1711 · 0.80 token:sourcing ← SAHOO sourcing     BIKE,,,,,
2026 SANLIAN CATALOG.pdf,All Catalogues 220926,SANLIAN,,à valider,official_1500,"SHENZHEN SANDIAN TECHNOLOGY CO., LTD. [SANDIAN] W5 W5-0005 · 0.75 fuzzy0.86 ← SANLIAN",,,,,
SANS Charger Catalog(6).pdf,All Catalogues 220926,SANS Charger,,aucun,,,,,,,
2026 SBK Catalog.pdf,All Catalogues 220926,SBK,,auto,official_1064,"GUANGZONG COUNTY AOQI TIRE MANUFACTURING CO., LTD. [NT SBK] N1 N1-1723 · 0.90 brand⊇ ← SBK",,,,,official_1064
SEEKRUN Catalog 2023.pdf,Suppliers Catalogues,SEEKRUN,,aucun,,,,,,,
